bottomless	اتھاہ اگم بے پیندہ
err	بِسارنا بھٹک پِھسلنا چُوکنا زلل ضال گمراہ سرگرداں بھٹکنا چوکنا غلطی کرنا خطا
misplace	بِسارنا بے جا غلط جگہ رکھنا کھونا
chessboard	بِساط شطرنجی بساط
hugeness	بساطت بڑائ جسامت ضخامت
grocer	بِساطی بقّال بنیا پرچُونی پساری پنساری مودی بقال کریانہ فروش
intrepidity	بسالت تہوُّر بے خوفی دلیری نڈر پن شجاعت
fearlessness	بسالت جسارت
bravery	بسالت بطالت بطش پامردی پٹھنَولی تُرکی تہوُّر جُرات جسارت جلادت چھاتی حماست دِل دِلاوری دِلیری دِیدہ دھڑلّا دِھیر ساکھا ساونتی شُجاعت شہامت غُرازی فُتوّت مردانگی مردُمی نہمت وِکرم وِیرتا ہِیاؤ بہادری دل گردہ دلیری شجاعت
saturate	بسانا بھگانا رنگ گہرا کرنا بھیگنا ہونا
endure	بِسانا بُھگتنا بھوگنا ٹِکنا ٹھنڈا ٹھہرنا جھیلنا چلنا خوری دائمی دیکھنا دُھرُو سہارنا سہنا صابِر صبور کش کشی کھانا کھینا گھسیٹنا مُتحمِّل برداشت کرنا صبر آنا تاب لانا زحمت اٹھانا مستقل مزاجی دکھانا ثابت
procure	بِسانا پَیدا فراہم لانا پیدا حاصل کرنا پانا
reek	بِساند تعفُّن بھاپ بخار دھان اٹھنا نکلنا دینا سانس نکالنا
fetid	بِساندا مُتعفِّن بدبو دار
ground	بساوری بِنا بُنیاد بھُو بھُوم پرتھوی تُراب ٹِپّس دھرتی دھرنی زمین سُودہ فرش مدار مَیدان سبب مردا باد ہمارے پسا ہوا اراضی اساس باعث میدان مٹی سہارا وجہ
toxic	بِساہا
tingle	بِسبِسانا پرپرانا پرپراہٹ تڑانا جھنّانا جھنجھنانا جُھنجھنی چرچراہٹ چِرمِرانا چِرمِراہٹ سرسر سُرسُری بجنا دھڑکنا سنسنانا سنسناہٹ
baggage	بست بُوبا ساز لوازم لوازمات سامان
shut	بست بستہ بند بندی سربستہ مسدُود مُوند علیحدہ کرنا پاٹنا
detail	بِستار تشریح تصریح تفاصیل تفصیل جُزئیات تض وضوح گننا سے بیان کرنا کچا چٹھا جزیات
apparel	بستر پَیراہن لِباس کپڑے پہنانا سجانا لباس پیراہن
mattress	بِستر توشک گبّا نِہالچہ گببھا گدا
holdall	بستربند بندھنا
beautyberry	بسترا
twentieth	بِستُم بِیسواں بیس واں
tablecloth	بستنی چادر دسترخوان سُفرہ کندُوری میزپوش
satchel	بستہ حُزمہ
congeal	بستہ تقریس چکّا چَیکا مُجمّد مُنجمد جمع ہوا باندھنا جمانا جمنا جکڑ جانا
solemn	بستہ گہرا معقول مُقطّع نِیوا سنجیدہ پیمان متین
frozen	بستہ جما جمتوّل مُثلّج مُجمّد مُنجمد بے حرکت منجمد یخ
parcel	بستہ بنڈل چُنگ کھاروا گانٹھ پلندا پڑیا
colony	بستی پتّن مُستعمر نگریا نَوآبادی نَوآبادیات نو آبادی
bustee	بستی
forgetfulness	بِسر بِسراہٹ بھُول ذُہُول غبَن غفلت فراموش فراموشی نِسیان نِسیانی بھول
pause	بِسرام توقُّف ٹِھٹھک ٹھِٹھکنا ٹھہرائو دِرنگ سکتے سکنات وقف وقفہ سکتہ
comfortingly	بِسرام
beguile	بِسرانا بہکانا بھرمانا ٹھگنا رمانا بے ایمانی کرنا داؤ کھیلنا دھوکا دینا جل گمراہ خود فریبی
scope	بسط تبسُّط اطوار حسب دامن دائرہ مبلغ وسعت
biscuit	بِسکُٹ
hogweed	بِسکھانپر
injure	بِسمِل بِیکا تُھورنا جرِیح چُٹالنا چُٹیل چکچُور چوٹل چوٹیانا چوٹیلا گھائِل مُتاذّی مجروح مظلُوم جروح پسی دروجہ ملزوم زخمی بگاڑنا چوٹ لگان گھائل کرنا خراب ضرر پہنچانا
lovelorn	بِسمِل
smallpox	بسنت بقریّہ بھوانی ٹھنڈی جُدری سِیتلا شِیتلا ماتا چیچک
cowpox	بسنتا
barbet	بسنتا
promiscuous	بِسنی ہرجائی اندھا دھند بے تک بلا فرق
refine	بِسنی پرویز ترشاترشایا سنسکار سنسکرِت مُتمدِّن مُستظرفہ مُصفّی مُنقّح شائستہ نفیس خرابی دور کرنا نفاست پیدا وضاحت
undoubtedly	بسوابیس بلاگفتگو حقّا شرطیہ لاریب لاکلام لارَیب مُقرّر بلا شک و شبہ بل ضرور یقینی طور پر
adze	بسُولا تیشہ
settler	بسویّا مکین نو آباد
whitlow	بِسہری چِھلَوری چھلوری
paronychia	بِسہری
abundantly	بسے
gourmand	بسیارخور چارُو چٹُّو چٹورا خورندہ رژہ بڑ پیٹا کھائ نادیدہ پیٹ
informer	بسیٹ بھیدی پَیک چارک چُغُل غمّاز گُرگا گوئندہ مُخبِر مُستخبر مُظہِر جاسوس مخبر
talebearer	بسیٹ چُغُل دُوتی ڈھول مِنم
envoy	بسیٹ بھیجا جرِید دُوت سفیر فِرِستادہ قاصد مُرسل جاریہ مبعوث ممثلہ مشیر ایلچی نمائندہ
roost	بسیرا چکس ڈھابا اڈا مرغی کا ڈربہ پلنگ
nest	بسیرا جھوجھ خانہ گھوسلا نشیمن درجہ بندی کرنا گھونسلا بنانا آشیانہ
perch	بسیرا پارچا ٹِھیا اڈہ بیٹھنا بٹھانا
detailed	بسیط تشریحی تفصیلی مبسوط مُشرّح مُفصّل مُفصّلہ مفصل
uncompounde	بسیط مُفرد
expansive	بسیط پاشان فراخ کُشاد گُنجائشی بسیت پھیلنے والا توسیعی
hilarious	بشّاش مِزاحیہ چوہل باز مگن قہقہہ آور زندہ دل
joyful	بشّاش شا شاداں شادہ فرحان لذیذ مُبتہج مفروح باغ کیف آور خرم خوش محضوذ نشاط انگیز
vivacity	بشاشت بشا شت گرما گرمی جوش کردار کی جولانی
humankind	بشر جگتیَ
physiognomy	بُشرہ فِراست قِیافہ
countenance	بُشرہ پَیکر تیور جبین چام چِہرہ حِمایت رُخ رُو رُوپ رُویت زِی سِیما صُورت طلعت قِیافہ لِقا نقشہ ہَیئت چہرہ بشرا حلیہ پیکر رو صورت
dermal	بُشرئی جِلدی
human	بشری منُش منُو ناس آدمی انسان بشر آدمیت فطری انسانی آدم زاد
anthropic	بشری
perceive	بصارت بُوجھنا پانا تاڑنا جاننا سمجھنا کذائی لکھنا محسوس کردہ ادراک کرنا لگنا
discern	بصارت بِینا تمیزدار حفی موشگاف مُبصِّر مُدقِّق مُستبصِر مُوشگاف بینا دقیقہ رس نقطہ دان سلیقہ مند امتیاز کرنا پہچاننا
vision	بصارت بصر بصیرت بِینائی تیور جوت خواب خیال دِرِشٹ درشن ڈِیٹھ رُویا صُورت ناظرہ نجر نُمائش نظر بینائ الہام کشف مشاہدہ نظارہ پیش بینی رویا
optical	بصری چاکشُش
ocular	بصری عینی
ophthalmology	بصریّات
onion	بصل پِیاز رائِتا کاندا کچُومر پیاز
bulbous	بصلی بلبُوس
perceptive	بصیر مُدرِک مُستبصِر با ہوش حساس ادراکی
foresight	بصیرت تدبُّر حفظ ما تقدم پیش بینی نظری
deftness	بصیرت صفائی چالاکی ہوشیاری مہارت مشاقی
affluent	بِضاعتی زکا مالدار مُتموِّل مُرفّہ تونگر رواں بہتا ہوا
battery	بطاریہ دُھس مورچہ مار کٹائ پیٹ
sluggard	بطّال مٹھّا
slowcoach	بطّال
crafty	بطّال بوالعجب پٹُو جُگتی چالاک چالُو چالیا چنٹ چھتّیسا چھدمّا دُھورت زرّاق فِطرتی کائِیّاں کَیدی مُتفنّی مکّار مگرا میسنا عیّار عیار چال باز چالک دنیا ساز فقرہ فطرتی حرفت کائیاں
untruthfulness	بطالت
heroism	بطالت بِیرتا پہلوانی رُستمی ساکھا سُورتا شہامت مردانگی بہادری بسالت
goose	بطّخ قاز
pochard	بطّخ
drake	بطخا چکوا نر مرغابی
patriarch	بِطریق مشائخ بڑ بوڑھا بزرگ خاندان مجتہد
penguin	بِطریق
aggression	بطش تغلُّب جارحِیّت عداوت حملہ جارحیت پیش قدمی
courageous	بطل بہادر پامرد پہلوان جری جسُور جِیالا جِیوَٹ حمِس دبنگ دِلیر دِھیر رُست ہمت والا شیر
confutation	بُطلان
falseness	بُطلان کھوٹائی
ptolemy	بطلیموس
stomach	بطن پچَونی پوٹا پیٹ تلّڑ گڑھا سُول شِکم کوتھلا کوٹھا مِعدہ آتما برداشت نہ کرنا پسند نا
auricle	بطن
belly	بطن پیٹی تلّڑ جٹھر جَوف گڑھا شِکم بلے سے دیر جوف کوکھ پیٹ شکم توند
abdomen	بطن جٹھر حشا پیٹ جوف کوکھ شکم
ventral	بطنی شکمی تحتانی
tardiness	بُطو بِلمب تساہُل دِرنگ دِرنگی دیر سُستی آہستگی ہچکچاہٹ سستی
temperate	بطی مدّھم نِیمَی معتدل پارسا
sedate	بطی وقر سنجیدہ
melon	بِطّیخ خربُوزہ گرما خر بوزہ سردہ تر بوز
watermelon	بِطّیخ تربوز قاش کلِندا
clitoris	بظر ٹُنّا چِیچا ٹنا بذر چھولا چوچولا پٹکا
arousal	بعث ثَوران
apostleship	بِعثت پَیغمبری نبوت رسالت
since	بعد تا چُونکہ سے یدی چوں کہ جب
latter	بعد واپسیں ال اخیر کا
remoteness	بُعد تباعُد تبعید ٹاری دُور دُوری فاصلہ مُفاصلہ دوری
afterwards	بعدہٗ پِچھَوت پِیچھے پِھر تب مُتعاقِب آیندہ بعد میں پیچھے پھر
then	بعدہٗ پِھر تب تد تدان تو ثُمَّ تھا پھر پس تبھی
dimensionality	بُعدیت
sundry	بعض چُٹرپُٹر چند چندانہ خریج مُتفرِّق کئ پھٹکل پھٹکر
several	بعض کِتنا مُتعدِّد چند کئی فہرستیں کئ بار ناب دان متعدد
any	بعضا کُچھ کِسی کوئی ہر بہت سے بڑی مقدار میں کسی کوئ کچھ
particularity	بعضیت تخصیص خُصوص خُصوصیّت
baal	بعل
baalbek	بعلبک
remote	بعید دُور مُستعبد دور گمراہ پھیر دار
exactly	بِعَینہٖ ٹاراٹُوک ٹِھیک جا نِپٹ نقیر ہی بہ جنسی ہوبہو بالکل ویسا
precisely	بِعَینہٖ ہُوبہو بلا کم و کاست
fissure	بُغارا بِلُوکا بُھرکی بھید پھاڑ پُھوٹ ترقیدہ تڑک ٹسن جُفتہ جھانکا جِھری چاک چٹخا چِرائو دراڑ درز درّہ سانس شق شقائِق شقیقہ شِگاف فرج کِھنڈ کھوپ گھٹّا پھٹا جھری شگاف
gash	بُغارا زخم گہرا لگانا چرکا گھاؤ
mutiny	بغاوت بَیدا غدر آشوب فتنہ
treason	بغاوت دغا غداری
dewlap	بغبغا غبغب
vermicelli	بُغرا سِوَیّاں سویاں
spite	بُغض جلاپا چُرَس حسد دُویش ڈاہ کپٹ کُھنّس تھاڑپ دلچسپ نفرت ہتک عداوت کینہ رشک
grudge	بُغض چُرَس حسُود کپٹ کِڑکِڑانا کِین کِینہ لاگ بے دلی سے دینا بخل کرنا دریغ حسد سستی بڑبڑانا ہونا بیر غبار خار کینہ رشک
cattiness	بُغض
rancour	بُغض بَیر بھڑاس تلخی چُرَس غُبار غِل کاوِش کِین کِینہ کُھنّس نِقار نِقمت غبار کینہ کپٹ پرخاش
aside	بغل درکنار بہ کنار جدا گانہ یکسا کانا پھونی کھس پھسی
flank	بغل پسواڑہ پکش پکھ پکھوا پکَھوٹا پہَل پہلُو جنبہ کانکھ کچھ بازو پہلو
dullard	بغلول مٹھّا غبی
scurf	بفا حزاز خُشکی بھوسی خشکی پپڑی بیہودہ پن
mosquito	بق پشّہ مچھّر مچھر دانی
survival	بقا
permanence	بقا بندھیج ٹھہرائو ثبات ثبت دائمیّت قائِمی قِدم قرار قِیام وقف مستقلی پآیندہ قیام استواری
puff	بُقّا بھک پُف پُھپکارنا پُھونک دم دَھونکنا کش نفخ پھلانا پھونک
waft	بُقّا ہلکے سے بہا لے جانا ترسیل کرنا ہلکورا جھکولا جھونکا جھولا جنبش لہر سانس یا ہوا کا
cow	بقر بھکڑ چھوت دبا سرگیں کرنا کِھڑک گاو گاوکُشی گائے گوبر گورُو گَوہتّیا گئو گیاّ
nilgai	بقرِجبلی
wiseacre	بُقراط لال بجھکڑ
hippocrates	بُقراط
solemnity	بُقراطیت تمکَنت ثِقاہت رزانت سنجیدگی وقار متانت
gravity	بُقراطیت تمکَنت دِھیر سنگ گمبھیرتا متانت ہَیبت سنجیدگی کشش ثقل
