english	urdu
obligatory	فرضی لازم لازمی مقصد واجب ضروری
obliged	ممنون شاکر
oblige	دل رکھنا احسان کرنا نوازنا
obligingly	مہربانی سے مروت سے
obliging	خلیق خوش اخلاق محسن
obligor	وعدہ کرنے والا
obliquely	کنایتن
obliqueness	انحراف ترچھا پن
oblique	آڑا آڑی منحرف ترچھا ترچھی
obliquity	غلطی انحراف تیڑھا پن
obliterated	مسخ
obliterate	مسخ کرنا مٹانا
obliteration	مسخ شدگی
oblivion	عفو بھول نسیان
oblivious	بھلکڑ غافل
oblong	لمبوترا مستطیل
obloquy	بے عزتی ننگ توہین رسوائ ذلت
obnoxious	قابل اعتراض مکروہ ناپسند
obsceneness	گندگی غلاظت
obscene	بے ہودہ فاحش فاحشہ گندہ غلیظ خراب قبیح
obscenity	فسق قباحت فحاشت
obscurantism	جہالت پسندی
obscurantist	جہالت پسند قدامت پسند
obscurant	جہالت پسند قدامت پسند
obscured	چھپی ہوئ ڈھکی ہوئ محجوب مبہم کردہ تاریک
obscurely	غیر واضح طور پر
obscure	چھپی غیر واضح گمنام خیرہ محجوب مبہم مشتبہ نامعلوم تاریک اندھیرا کرنا چھپانا دھندلانا مدھم کرنا
obscurity	اندھیرا گمنامی ابہام التباس تیرگی ظلمت
obselete	غیر مستعمل مہمل
obsequiously	چاپلوسی سے
obsequiousness	سعادت مندی
obsequious	چاپلوس مطیع تابع
obsequy	جنازہ
observable	ادراک پزیر قابل امتیاز ممتاز نمایاں
observably	نمایاں طور پر
observance	پاس پیروی رواج ریت شعار
observant	مبصر تیز نظر
observation post	فوجی چوکی
observation	مشاہدہ روئت
observatory	رسد گاہ
observer	مبصر مشاہد ناظر
observe	دیکھنا خیال کرنا منانا ملاحظہ کرنا مشاہدہ کرنا نظر ڈالنا
observing	کار بند
obsessional	آسیبی چھا جانے والا
obsession	آسیب آزار خبط وہم
obsessively	حاوی ہوتے ہوئے
obsessive	حاوی
obsess	گھیرنا قبضہ کرنا
obsidian	شیشے جیسا
obsign	مہر لگانا
obsolescence	متروک پن ترک
obsolescent	متروک
obsolesce	فرسودہ ہو جانا
obsolete	فرسودہ غیر مستعمل کہنہ متروک متروکہ
obstacle	اٹک بار بست پخ قید رخنہ روک تھم روڑا رکاوٹ شاخسانہ
obstetrics	علم الولادت
obstinacy	ڈھٹائ ہٹ ہیکڑی اصرار ضد
obstinately	ہٹ دھرمی سے ضد سے
obstinate	ڈھیٹ ہٹ دھرم تیڑھا تیڑھی ضدی
obstreperous	بے لگام بے قابو جھگڑالو سرکش
obstructed	مسدود
obstructing	حائل مزاحم
obstructionist	حائل مزاحم
obstruction of justice	انصاف کی رکاوٹ
obstruction	اٹک بندش ہرج مزاحمت رکاوٹ
obstructive	حارج مانع
obstructor	حارج
obstruct	آڑے آنا مزاحم ہونا پچ چر مارنا پخ لگانا راہ میں روڑے ڈالنا رخنہ ڈالنا روکنا روڑا اٹکانا
obtainable	جو مل سکے قابل تحصیل
obtained	حاصل کردہ یافتہ
obtaining	فائز
obtain	حاصل کرنا لینا ملنا پانا مانا جانا طاری ہونا
obtrude	بن بلائے مہمان بننا زبردستی گھسنا
obtrusive	بن بلایا مہمان فضولی
obtund	کند کرنا مریل کرنا
obtuseness	گستاخی
obtuse	گستاخ کند ماند
obverse	جواب
obviate	آڑے آجانا پیش دستی کرنا روکنا
obviously	صاف طور سے صریحاً
obviousness	واضح پن
obvious	معلوم واضح ظاہر
occasionally	اب تب گاہے گاہے کبھی کبھار کبھی کبھی خال خال وقتاً فوقتاً
occasional	ہنگامی اتفاقی
occasion	بار باری باعث دفعہ فرصت علت جا مقام موقعہ سبب وقت
occidental	غربی مغربی
occident	مغرب
occipital	گدی جیسا
occlude	آڑے آنا کاٹنا روکنا
occlusion	رکاوٹ
occultation	چھپائ
occultism	جادو گری پر یقین
occult	خفیہ مشکل
occupancy	کرایہ دار قبضہ سکونت تصرف
occupant	پٹے دار قابض ساکن
occupational	کارو باری پیشہ وارانہ
occupation	کام مشغلہ پیشہ قبضہ شغل تسلط
occupied	مقبوضہ مشغول زیر تسلط
occupier	قابض ساکن
occupy	گھیرنا پرکرنا قابض ہونا قبضہ کرنا سکونت کرنا زیر تسلط کرنا
occurent	واقع وارد
occurred	واقع
occurrences	واردات
occurrence	حادثہ واقعہ
occurring	عارض
occur	عارض ہونا بیتنا ہونا واقع ہونا وارد ہونا
oceanic	بحری
oceanography	بحری جغرافیہ
ocean	بحر سمندر
octagonal	ہشت پہلی
octagon	ہشت پہلو مسمن
October	اکتوبر
octopus	اخبوت ہشت پا
octroi	چنگی ناکا
ocularly	نظر سے
ocular	عینی بصری
oculist	بصری حکیم
odalisque	باندی
oddball	عجیب و غریب بے تکا سنکی
oddity	عجیب پن بے ڈھنگا پن غرابت
odd man out	ٹات باہر
oddment	بچا کھچا
odd number	طاق
odds on	ممکنہ
odd	عجیب بے ڈھنگا اضافی فالتو غریب منحرف پھٹ پھٹکل پھٹکر
ode	غزل قصیدہ
odiously	کراہت سے
odiousness	نفرت انگیزی
odious	کریہہ مکروہ ناگوار ناپسندیدہ قبیح
odium	گھن کراہیت ناگواری نفرت تنفر
odograph	مسافت نگار
odometry	مسافت پیمائ
odorant	خوشبو
odoriferous	تیز خوشبو والا
odorous	خوشبو دار مہک دار
odour	بو مہک شمیم
odyssey	سفر کی داستان
oeuvre	فن پارہ شاہکار
offal	آلائش فضلہ
offbeat	نرالا
off centre	انوکھا بے مرکز
off colour	بد رنگ بد تمیز بیمار درشت
off course	راہ سے ہٹا
off day	چھٹی کا دن
offence	گناہ حملہ جرم
offended	جز بز کبیدہ کبیدہ خاطر خفا ناخوش ناراض رنجیدہ تیڑھا تیڑھی اچاٹ
offender	حملہ آور مجرم
offend	دل کھٹا کرنا جذبات کو ٹھیس پہنچانا ناخوش کرنا ناراض کرنا
offensiveness	برائی گستاخی جارحیت ناگواری
offensive	خراب ناگوار ناپسند ڈھٹائ گستاخی حملہ
offering	چڑھاوا نذر نیاز قربان
offertory	کلیسے کا چندہ
offer	بھینٹ چڑھانا دینا نچھاور کرنا پیش کرنا قربان کرنا بھینٹ ہدف نشانہ پیشکش قربان
off guard	بلا تحفظ
off handed	برجستہ
office holder	عہدے دار
office hours	دفتر کے اوقات
officer	مامور
office	دفتر خدمت مرتبہ عہدہ پائے گاہ پیشہ
officialdom	دفتر شاہی
officialese	دفتر شاہی کی زبان
officially	با ضابطہ طور پر
official	حاکم عہدے دار سرکاری سرکاری
officiary	اہل کار
officiate	قائم مقامی کرنا
officiating	قائم مقام
officiation	انجام دہی پیشوائ
officiousness	فضول
officious	فضولی مدد گار مفت کا خادم مطیع
offing	حد نظر میں افق بحری
offish	الگ تھلگ
off key	بے سرا
off limits	ممنوعہ
offload	نجات پانا سامان اتارنا
off one's hand	ہاتھ اٹھا لینا نگرانی سے باہر
off price	سستا
off putting	چڑ چڑانے والا
offscouring	کوڑا تلچھٹ
offshoot	شاخ
offshore	ساحل سے ہٹ کر
offspring	اطفال اولاد بچے فرزند نئی پود نشانی پود ضریت
offstage	نجی ذاتی
off the cuff	بلا تیاری
off	بعید دور ہٹا ہوا
off white	تقریباً سفید
of late	آج کل ابھی چند روز سے حال ہی میں ابھی
oftentimes	اکثر بیش تر غالباً کئ بار
often	اکثر بیش تر غالباً کئ بار
oft	اکثر
of	فی کا کی
ogle	للچائ نظر ڈالنا تاڑنا ترچھی نظر مارنا
ogre	آدم خور دیو عفریت
oh my God!	افوہ
oh!	آہ واہ اف
oilcake	کھلی
oilcan	کپپی
oilcloth	موم جامہ
oil drum	تیل کا پیپہ
oiled	چپڑی
oiler	کپپی تیل دینے والا
oil field	تیل کا چشمہ
oil paint	روغنی رنگ
oilseed	تے کا بیج
oilskin	موم جامہ
oil stone	بٹی
oil	تیل چپڑنا تیل ڈالنا
oil well	تیل کا کنواں
oily	چکنا چپڑا تیل سے بھرا
oink	سور کی آواز
ointment	لیپ مرہم
okra	بامیا بھنڈی
OK	بجا درست خوب ٹھیک اتفاق کرنا منظور کرنا
old age	بزرگی پیری ضعیفی بڑھاپا خزاں
Old Bill	پولس والا
old boy	سابق طالب علم
old country	اپنا وطن
olden	قدیم
oldest	قدیم ترین
oldfangled	پرانی طرز کا
old fashioned	پرانا
old girl	سابق طالبہ
old gold	مٹیلا پیلا رنگ
old growth	پرانا جنگل
old hand	کائیاں تجربہ کار
old hat	گھسی پٹی بات
oldie	پرانی چیز
old line	قدامت پرست
old maid	کنواری بڑھیا
old man	باپ بڑے میاں شوہر
old master	استاد فن کار
Old Nick	ہوا ابلیس شیطان
old person	بوڑھا بوڑھی
old rose	گہرا گلابی
old salt	تجربہ کار ملاح
old school	روایتی
old shoe	آسان اچھی پہچان شناسا
old soldier	سابق فوجی
oldster	بڑا پختہ عمر
old style	پرانی طرز کا
Old Testament	عہد نامہ قدیم تورات
old timer	تجربہ کار
old	بوڑھا بڈھا بزرگ دیرینہ خرانٹ کہنہ کہن کہن سال پارینہ پرا چین پیر پیشین پیوستہ پرانا قدیم ضعیف
oldwife	کلالن
oleander	کسم
olfactory	شمی مشمومی سونگھنے سے متعلق
olio	پچ میل
olive branch	امن کی نشانی
olive oil	زیتوں کا تیل
olive	زیتون
omen	علامت فال شگون
ominous	نحس
omissible	قابل نظر اندازی
omission	بھول فرو گذاشت حذف
omitted	خارج متروک نظر انداز
omit	بھول جانا حذف کرنا کھانا ملحوظ خاطر نہ رکھنا نظر انداز کرنا
omnibus	مجموعہ
omnificient	عظیم تخلیق کار
omnigenous	ہر طرح کا
omnipotent	جبار قادر مطلق
omnipresence	ہرجگہ موجود ہونے کی صفت
omniscience	ہر شے کا علم
omniscient	ہر شے کا علم رکھنے والا
omnivorous	ہر شے کھانے والا
onager	گدھا منجنیق
on behalf of	بدلے واسطے
onboard	سوار
once over	سرسری نظر
once	ایک دفع ایک مرتبہ کبھی بھی سابق
oncology	علم سرطان
one another	آپس ایک دوسرا
one away	یک طرفہ
one by one	جدا جدا
one eyed	کانا
one fold	دوہرا
one horse	بے رنگ چھوٹا ناچیز
one man	یک شخصی
oneness	وحدانیت وحدت
one piece	ثابت
onerous	بھاری جابرانہ کڑا کٹھن وزنی
oner	اچھوتا انوکھا
oneself	اپنے آپ خود
one sided	یک رخ یک طرفہ
onetime	سابق
one to one	ایک جیسا
one	ایک ایک خاص واحد یک
onfall	حملہ وار یورش
(on)foot	پیروں
on foot	پیروں
ongoing	احوال ماجرا کاروائ واقعہ
on guard	خبردار
on hand	فرض موجودہ تیار زیر اختیار در پیش
onionskin	باریک کاغذ
onion	پیاز
onkus	نامرغوب الٹا پلٹا
onload	سامان چڑھانا
onlooker	تماش بین تماشائ
only	اکیلا اکیلی اکلوتا اکلوتی فقط محض مجرد صرف
on one's hand	بوجھ ذمہ داری
onrush	آگے کو بڑھاؤ
onset	چھاپہ ہلہ حملہ ہجوم شروعات
onshore	دریا کنارے
on site	جائے سقوع پر
onslaught	حملہ وار یورش
on the other hand	البتہ
on the road	سر راہ
on the watch	چوکس ہوشیار
ontic	حیاتی وجودی
ontogeny	بلوغیت
onto	بات چیت ہونا تعلق ہونا
onus	بار ذمہ
onward	آگے آگے بڑھتا ہوا
on	با بی پر
onymous	نام والا
oodles	فراوانی
ooh	ارے افوہ
oology	تیرانیات
ooze	چونا رسنا کپڑے کا رواں
opacity	دھندھلا پن
opaqueness	دھندھلا پن
opaque	دھندھلا غیر شفاف تاریک
open field	میدان
open hearted	کشادہ دل صاف دل
opening	دہانہ درز دراڑ دروازہ نشراح موقع شق
openly	اعلانیہ بل اعلان دن دھاڑے دھڑلے سے کھلے عام کھلے بندون کھلم کھلا پکار کے صاف
openness	خلوص
open	دریدہ ہویدا کھلا کشادہ وا ظاہر کھلنا وا ہونا کاٹنا کھولنا وا کرنا
