اتھاہ	bottomless unfathomable deep
طِفلی	infancy childhood
طُفُولیت	childhood
طُفَیل	companion
طُفَیلی	parasite parasitic
طُفَیلیا	sponger hanger parasite
طِلا	ointment embrocation liniment unguent gold
طلاق	divorce leave
طلاقت	fluency eloquence
طلاقن	inauspicious
طلاوت	grace loveliness attractiveness
طِلائی	golden
طلایہ	patrol night
طلب	salary solicitation summon search demand desire quest pay wish crave wage request
طلبہ	student
طلبی	demand summon
طِلِسم	spell talisman magic
طِلِسمی	talismanic magical
طلعت	visage appearance face countenance
طلف	present gift
طلفاً	gratis
طلَق	free unrestrained
طلق	talc
طلیق	free unrestrained cheerful
طمّاع	avaricious
طمانیت	composure calmness tranquillity satisfaction
طُمطُراق	magnificence grandeur
طمع	covetousness avarice greed
طمنچہ	pistol
طناب	tent cable
طنّاز	facetious sarcastic coquettish playful satirist satirical
طنّازی	playfulness facetiousness
طنبور	tambour
طنز	satire taunt derision sneer jeer irony sarcasm
طنزاً	ironically jeeringly sarcastically tauntingly
طنزیہ	sarcastic satirical
طنطنہ	pomp vanity wrath anger
طنین	hum tinkle ring buzz
طواف	circumambulation circulate
طوالت	prolong length protractedness
طوائف	troupe tribe nation whore people courtesan prostitute
طوائفیت	harlotry
طُوبیٰ	good happiness joy excellent delightful
طَور	manner state condition conduct way style fashion
طُور	mount hill
طوطا	parrot
طُوطی	parakeet
طَوطیا	slander calumniation preface
طَوع	obey willingly obedience
طَوف	circumambulation
طُوفان	storm typhoon tempest furore hurricane
طُوفانی	stormy boisterous tempestuous quarrelsome
طَوق	yoke collar
طُول	prolixity length
طُولاً	lengthwise
طُولانی	lengthy length prolix
طُولیٰ	complete tall
طُومار	scroll tome calumny volume slander
طُوئی	feast entertainment
طویل	long tall prolix protract
طویلہ	stable
طہارت	ablution purity cleanliness
طُہر	purity purification cleanliness
طہُور	pure purify clean
طَے	settle
طیّار	bird fly fleet
طیّارچی	pilot
طِیب	happiness fragrance goodness odour willingness
طیّب	good pleasant pure nice right
طَیر	flight bird
طَیران	flight
طَیش	anger passion rage
طَیفُور	bird
طَیلسان	gown degree hood
طَیلسانی	graduate
طِین	clay earth
طِینت	disposition
طُیُور	bird
ظافِر	victorious
ظالِم	oppressor tyrant
ظالِمانہ	unjust cruelly cruel oppressive unjustly tyrannical
ظاہِر	obvious plain open manifest visible external outside conspicuous apparent evident clear
ظاہِراً	seemingly apparently evidently
ظاہِرہ	obvious form manifest scene evident
ظاہِری	external outward apparent
ظرافت	humour jest wit
ظرافتاً	jokingly light
ظرف	vase vessel tolerance zarf receptacle
ظرفیت	courage patience capacity
ظرِیف	comical humorous witty jocose
ظرِیفانہ	humorous witty wittily humorously
ظفر	triumph victory gain conquest
ظِل	projection shadow protection
ظِلال	shadow
ظلام	darkness
ظلم	obscurity gloom darkness
ظُلم	outrage oppression injustice cruelty tyranny
ظُلُمات	darkness
ظُلمت	ignorance darkness
ظُلمی	tyrant cruel oppressive
ظُلمیت	oppression injustice iniquity cruelty tyranny
ظلُوم	cruel tyrannical
ظلیل	thick shady
ظن	conjecture suspicion impression think
ظنّی	conjectural suppose
ظِہار	back resemblance
ظُہر	midday noon
ظُہرانہ	lunch
ظُہُور	advent emergence manifestation
ظُہُورا	happiness grace offspring son glory
ظہِیر	associate supporter ally
عابِد	worshipper devotee godly pious devout
عاتِق	shoulder virgin
عاجِز	weak incapable helpless disappoint frustrate unable
عاجِزانہ	meekly helplessly humbly
عاجِزی	helplessness entreaty meekness humility inability
عاجِل	hasty speedy agile quick
عاجِلانہ	hasty speedily speedy hastily
عاد	factor
عادت	manner adat addiction practice custom habit
عادتاً	habitually
عادِل	fair
عادِلانہ	just equitably fair justly equitable
عاذِر	apologist excuser excuse
عاذِل	reprover censurer
عار	compunction ignominy shame qualm
عارِض	happen occur petitioner befall obstacle occurrence applicant cheek
عارِضہ	disease disorder sickness
عارِضی	transitory provisional interim temporary transient short
عارِف	know godly pious mystic wise
عارِفانہ	mystically spiritually mystical spiritual
عارِیت	loan
عارِیتاً	borrow
عارِیتی	lend borrow
عازِم	intend determine
عاشِر	tenth
عاشِق	suitor lover
عاشِقانہ	lovingly amorously love amorous
عاشِقی	love
عاصِم	protector virtuous chaste
عاصی	rebellious sinful sinner disobedient sin
عاطِر	gracious fragrant noble
عاطِف	benevolent refractive inclined kind
عاطِفت	favour benevolence kindness
عاطِل	stupid empty useless lazy idle
عافِیت	peace safety well
عاق	rebellious refractory disobedient
عاقِبت	conclusion end termination
عاقِل	wise intelligent
عاقِلانہ	intelligent wisely skilful prudently wise
عالم	age condition scene
عالِم	intelligent wise scholar
عالِمانہ	scholarly
عالمی	worldwide international global
عالمین	world
عالی	elevated high eminent exalted noble grand sublime lofty
عام	common mass public usual customary year ordinary general
عامِر	full replete
عامِرہ	royal flourish plentiful
عامِل	act administrator doer conjuror agent motivate govern
عامِلہ	executive
عامّہ	public
عامی	common ordinary blind ignorant plebeian
عامِیانہ	common vulgar
عانہ	groin pubis
عاہِر	adulterer fornicator
عائِد	incur
عائِدہ	revenue tax
عائِش	prosperous
عائِل	fakir breadwinner poor hermit
عائِلہ	family
عائِلی	familial
عبا	cloak toga gown
عِباد	servant slave
عِبادت	adoration prayer worship
عِبادتی	devotee worshipper
عِبارت	mean composition text expression word interpretation
عبّاسی	abbasids
عبایہ	abaya
عبد	slave bondsman servant follower
عبدیّت	devotion adoration slavery
عِبر	quay wharf
عِبرت	warn lesson example admonition
عبقریّت	genius
عُبُودیت	devotion servitude worship
عُبور	etc
عُبُوری	interim transitional provisional
عبُوس	touchy irascible testy
عبُوست	ill testiness
عُبَید	worshipper
عبِیر	sandalwood saffron
عِتاب	anger wrath rebuke displeasure
عتاقت	freedom liberation
عتبہ	mausoleum shrine
عِترت	offspring progeny descendant
عتیق	ancient antiquated
عتیقیات	archaeology
عجائب	wonder curiosity
عجب	amazement surprise marvellous strange astonishing
عُجب	arrogance self conceit vanity
عِجز	helplessness powerlessness submission humility
عُجلت	hurry speed haste
عجم	dumb
عجمی	alien non foreign
عُجوبہ	curio
عجُول	hasty expeditious quick
عدالت	tribunal justice
عدالتی	legal judicial
عداوت	malice animosity enmity hostility
عداوتی	hostile malicious
عدد	figure number digit
عددی	numerical numeral
عدس	lentil
عدل	fairness justice
عدلیہ	judiciary
عدم	non non- nothingness void
عدن	aden paradise
عدُو	enemy foe rival
عدُول	fair just
عُدُول	refusal denial aberration
عُدُولی	decline non aberration insubordination
عدیل	equivalent just equal alike equitable
عدیم	absent destitute lack rare non
عذاب	torment anguish curse
عِذار	face
عذب	sugary sweet
عُذر	objection excuse pretext apology
عذرا	virgin beloved
عُذُوبت	sweetness
عرابت	swear
عرابچی	coachman carter driver
عرابہ	cart
عرائض	letter petition
عرب	arabia
عربدہ	quarrelsomeness dispute irascibility conflict
عربی	arabian arabic
عُرس	urs
عرصہ	time period expansion duration interval plain space
عرَض	contingency
عرض	solicitation request entreaty petition width representation extent breadth
عِرض	prestige honour
عرضاً	breadthwise
عرضی	application broad representation wide petition
عُرف	alias
عِرفان	gnosis discernment wisdom
عرفہ	eid
عُرفی	customary
عُرفیت	alias
عرَق	perspiration essence spirit sweat liquor juice
عِرق	vein nerve
عُروج	elevation pinnacle height success climax ascension exaltation
عروسی	marriage nuptial wedding bridal
عروض	prosody
عُرُوض	appearance emergence
عروضی	prosodic
عُریاں	bare nude obscene manifest naked divest evident
عُریانی	nakedness nudity
عریش	shelter canopy
عریض	broad wide
عریضہ	petition letter
عِز	dignity grandeur greatness glory excellence might majesty
عزا	condolence patience endurance
عزازیل	satan
عزائم	aim determination
عِزّت	dignity esteem reputation respect chastity honour izzat virginity
عزل	dismissal
عُزلت	seclusion retirement solitude
عزم	resolve purpose intention aim undertaking determination
عزیز	kinsman beloved friend glorious precious darling powerful dear magnificent relation relative
عزیمت	amulet spell design intention incantation resolution undertaking determination charm
عُسرت	hardship distress poverty penury scarcity straitness
عسکر	army troop
عسکری	armed soldier military
عسل	honey
عسیر	difficult poor narrow
عشا	supper
عِشا	dusk nightfall
عُشّاق	lover
عِشائیہ	dinner
عُشبہ	sarsaparilla
عشَر	ten
عُشر	tenth tithe
عشَرات	decade ten
عِشرت	comfort mirth pleasure enjoyment
عشَرہ	ten decade
عِشقیہ	amatory
عِشوہ	ogle coquetry blandishment
عشیرہ	tribe family relative
عصا	support mace sceptre club staff
عصّار	oilman
عُصارہ	juice gist extract
عصب	muscle nerve ligament tendon sinew
عصبہ	muscle nerve ligament tendon sinew
عصبیّت	prejudice bigotry partisanship sectarianism tribalism racialism bias
عصر	age time essence extract gist pith epoch era juice
عصری	contemporary
عُصفُر	safflower
عُصفُور	sparrow
عِصمت	integrity innocence honour chastity
عِصیان	wrongdoing sin
عصیر	grape etc
عضُد	companion arm
عضلہ	tissue muscle
عُضو	organ
عُضوِیّات	physiology
عطا	grant bounty favour present gift bestowal endowment
عطّار	perfumer chemist druggist
عُطارِد	zinc
عطّاری	perfumery
عطائی	charlatan quack
عطائیت	quackery
عِطر	essence perfume
عطسہ	sneeze
عطش	thirst
عطشان	longing
عطف	favour bounty kindness inclination
عُطُوفت	benevolence kindness
عطیّہ	grant present gift assignment endowment
عِظام	bone
عُظّام	big elder
عظم	bone
عِظم	magnificence bigness greatness
عظمت	pomp haughtiness magnificence magnitude greatness
عُظمیٰ	great supreme
عظیم	large grand great
عفاف	piety modesty chastity
عِفّت	virtuousness abstinence virtue chastity modesty purity decency
عِفریت	ogre afreet
عفن	stench stink
عفو	forgiveness pardon
عفُوصت	bitterness astringency
عُفُونت	stench stink rancidity fetidness
عفیف	abstemious virtuous chaste
عِقاب	chastisement punishment torture
عُقاب	eagle
عقائد	belief faith
عقب	behind back offspring after heel rear
عقَبہ	ascent
عقبی	behind back
عقد	tie agreement covenant compact knot
عِقد	necklace garland
عُقدہ	enigma mystery tie secret bond knot
عقرب	scorpion scorpio
عقل	wisdom sense intellect reason
عقلاً	rationally
عقلی	reasonable rational
